imgID,annID,scID,scale,newWidth,newHeight,pos_label,neg_label
270515,1447091,202774,0.757506117,275,484,[],"[[318, 322], [274, 259], [181, 367], [238, 359], [217, 281], [150, 284], [210, 311], [151, 331]]"
22166,1817887,551836,0.549054495,263,310,"[[245, 484]]","[[313, 203], [300, 314], [253, 340], [269, 162]]"
63729,1548365,210333,0.201911733,87,86,[],"[[103, 43]]"
2843,685338,342745,0.40530678,173,28,"[[326, 305]]","[[291, 98], [251, 253], [163, 14], [206, 82]]"
34478,703810,324203,0.096124754,27,36,"[[366, 74], [219, 297]]","[[106, 123], [99, 141]]"
16732,1153358,487796,0.10961596,38,46,"[[373, 280], [370, 218]]",[]
378096,664376,487796,0.361649303,48,154,[],"[[572, 237], [225, 315], [200, 324], [278, 220]]"
294284,586016,267898,0.197521641,126,74,[],"[[494, 285], [475, 254], [284, 221], [265, 88], [120, 352]]"
205677,1154090,215081,0.10961596,30,47,"[[336, 381]]","[[72, 324], [175, 75], [582, 171], [571, 134], [414, 207], [313, 107], [108, 216]]"
90020,345094,44494,0.360115458,172,90,[],"[[139, 319], [308, 497], [126, 550], [188, 317], [140, 202]]"
223369,1048275,289333,0.634996289,386,304,"[[388, 301]]",[]
22014,100180,400552,0.45402125,217,245,"[[111, 406]]","[[120, 230], [271, 367], [329, 363], [370, 445]]"
42007,1882760,20702,0.755898438,362,371,[],"[[194, 378], [260, 354], [192, 330], [226, 442], [229, 326]]"
35508,1076771,44878,0.250157254,160,98,"[[424, 373], [256, 372]]","[[93, 68], [446, 108]]"
61904,152151,60677,0.68275468,436,270,"[[390, 345], [313, 211]]","[[398, 176], [323, 170]]"
13719,26888,224134,0.20019417,44,85,"[[343, 320]]","[[490, 173]]"
347405,693700,90662,0.429262483,206,101,"[[159, 282], [194, 504], [257, 539]]",[]
378096,664376,168173,0.104665656,14,44,"[[373, 324]]","[[213, 28], [131, 327], [497, 30], [262, 135], [482, 361], [481, 160]]"
119923,674110,547759,0.755898438,256,483,[],"[[330, 254], [316, 336], [324, 378], [232, 381], [339, 262], [267, 254], [345, 293], [269, 290], [242, 333], [220, 300]]"
305441,1550096,338988,0.455177746,122,193,"[[542, 187], [384, 319], [532, 194], [273, 240], [405, 327], [116, 232], [575, 153], [206, 239], [544, 307], [375, 202], [550, 275]]",[]
188826,1105244,82273,0.111078468,35,53,[],"[[184, 289], [171, 326], [103, 80], [618, 199], [574, 60]]"
9113,103037,222964,0.181107612,59,86,"[[479, 379]]","[[369, 152], [81, 199], [504, 48], [141, 74], [249, 314], [378, 185]]"
117494,72410,334542,0.649473695,220,277,"[[237, 260], [412, 249], [361, 271], [311, 267], [484, 276]]","[[482, 174], [377, 179], [514, 215], [385, 204], [459, 176]]"
100022,1912392,131725,0.659009271,253,151,"[[191, 120], [247, 128], [165, 147], [186, 135], [234, 195], [146, 225]]",[]
373639,694258,84040,0.429262483,274,106,"[[244, 371], [167, 96]]",[]
36639,1796446,525021,0.304005356,194,119,[],"[[530, 113], [399, 284], [175, 263], [172, 331], [443, 185]]"
146917,2111340,289333,0.455177746,215,218,[],"[[315, 174], [143, 156], [509, 283], [107, 198]]"
573336,702979,165684,0.380717964,40,182,"[[449, 314], [612, 278], [41, 339], [411, 267], [238, 333], [77, 239]]",[]
97411,1077959,202944,0.704894538,293,338,"[[323, 258], [282, 203], [179, 294], [482, 311], [364, 289], [444, 303], [324, 259], [474, 250], [179, 235], [256, 209], [282, 305], [438, 236], [280, 178], [384, 176]]",[]
19609,1547942,285562,0.371546568,226,189,[],"[[466, 239], [435, 169], [511, 176], [182, 272], [450, 364], [430, 338], [117, 170]]"
42529,132168,280733,0.459674595,294,126,"[[361, 332], [399, 334]]","[[480, 101], [354, 202], [487, 208], [312, 127], [197, 118]]"
97577,1930884,102278,0.323599735,119,138,"[[466, 315]]","[[574, 258], [64, 212], [92, 274]]"
83159,1074276,205572,0.704894538,360,336,"[[438, 259], [278, 252], [363, 295], [223, 181], [207, 287], [251, 236], [375, 184], [280, 202], [431, 269]]",[]
459967,707427,496261,0.380717964,181,59,"[[374, 561], [244, 334], [133, 571], [256, 30]]","[[372, 255]]"
271892,73653,334542,0.259286825,164,110,"[[103, 86]]","[[138, 312], [452, 213], [311, 352], [135, 187], [517, 305], [299, 214]]"
238187,1047625,289333,0.455177746,291,174,"[[261, 352], [384, 328], [376, 290], [332, 314], [401, 265], [230, 317]]",[]
34904,572461,461657,0.350514024,140,168,[],"[[189, 132], [569, 361], [407, 133], [257, 99], [165, 283], [456, 282], [160, 327], [310, 396], [278, 290]]"
395290,49502,103318,0.197186657,83,94,"[[330, 416]]","[[248, 184]]"
192450,64911,458705,0.181141227,80,77,"[[423, 385]]","[[391, 204], [158, 131]]"
131621,577388,260974,0.7207216,222,347,"[[336, 186], [318, 301], [375, 262]]",[]
321418,73189,250703,0.168403216,98,71,[],"[[587, 278], [389, 201], [363, 288]]"
128351,165972,441292,0.496539338,238,99,[],"[[192, 77], [214, 474], [350, 333], [164, 584], [207, 259], [294, 498]]"
76674,578248,199632,0.7207216,461,210,[],"[[362, 316], [351, 204], [235, 216], [275, 248], [311, 286]]"
131621,577388,505023,0.237620423,58,91,[],"[[167, 283], [313, 222], [381, 216], [70, 213], [336, 242], [278, 288]]"
381160,1105454,396765,0.23889051,152,52,"[[162, 443], [368, 335]]","[[212, 164], [294, 134]]"
13719,26888,126097,0.20019417,44,85,[],"[[160, 103], [131, 368], [50, 236], [494, 128], [252, 182], [415, 155], [308, 333], [426, 232]]"
25148,4535,507322,0.161650305,93,77,"[[478, 79], [418, 191], [163, 256], [393, 127]]","[[251, 434], [422, 373]]"
27433,596564,542173,0.13673486,56,65,[],"[[349, 107], [370, 421], [597, 235], [60, 218], [98, 378], [283, 260], [122, 103], [419, 420]]"
99030,374861,102278,0.127454473,49,54,"[[99, 349]]","[[210, 129]]"
139953,705289,324203,0.096124754,38,36,"[[329, 301], [367, 178]]","[[359, 36], [78, 274], [203, 229], [60, 180]]"
359097,1106200,267555,0.111078468,55,19,"[[221, 214]]","[[29, 172], [293, 113], [137, 24], [436, 205], [101, 353], [401, 64], [206, 340]]"
304099,1186516,84046,0.187695861,120,73,[],"[[178, 256], [530, 229], [205, 383], [295, 317], [179, 55]]"
3742,1550334,288836,0.295814199,136,141,"[[514, 108], [125, 388], [219, 100], [328, 196], [289, 72], [88, 223], [445, 201], [536, 365]]",[]
48850,102346,106878,0.323599735,83,136,"[[503, 285], [123, 337]]","[[256, 118], [428, 232], [553, 80], [82, 195], [333, 338]]"
9113,103037,69428,0.240424012,69,101,"[[254, 273], [132, 313]]","[[297, 155], [375, 195], [543, 163], [184, 199], [546, 316]]"
296474,1184469,140180,0.187695861,120,72,"[[448, 310]]","[[577, 83], [382, 150], [432, 268], [277, 337], [328, 217], [184, 233]]"
52835,2185622,500699,0.628752311,402,245,"[[252, 242], [215, 248]]",[]
183187,571899,26438,0.350514024,224,86,[],"[[172, 125], [480, 81], [265, 175], [240, 198]]"
367853,21228,293545,0.20019417,70,78,[],"[[37, 317], [530, 331], [350, 337]]"
22112,24275,293545,0.121522447,55,47,[],"[[395, 281], [442, 82], [82, 265]]"
3742,1550544,447378,0.455177746,246,218,"[[474, 328], [148, 214], [305, 185], [513, 245], [150, 305], [183, 192]]",[]
17997,598826,387056,0.531317651,146,226,"[[134, 186], [105, 247], [263, 195], [235, 149], [356, 217], [401, 264], [403, 247]]","[[239, 114]]"
192236,84475,526732,0.733162893,469,276,[],"[[371, 198], [335, 241], [278, 234], [291, 317], [370, 269]]"
43780,105674,222964,0.323599735,148,155,"[[537, 390]]","[[492, 284], [352, 242], [159, 194], [100, 379]]"
123229,78245,321692,0.380922218,190,167,"[[292, 249], [147, 283], [427, 229], [430, 314], [234, 228], [309, 299]]","[[356, 162], [545, 157], [194, 147]]"
127785,600543,577065,0.13673486,35,65,[],"[[150, 391], [59, 72], [330, 374], [486, 442], [365, 40], [498, 135]]"
369770,685870,84040,0.299350734,133,143,"[[82, 93], [319, 183], [110, 188], [445, 290], [346, 344], [531, 383], [139, 325]]",[]
22447,1885764,299563,0.114129684,60,54,[],"[[571, 117], [188, 356], [397, 440], [193, 263], [581, 433], [121, 111], [369, 92]]"
178258,155732,515315,0.68275468,326,291,[],"[[238, 178], [284, 272], [232, 193], [179, 241], [324, 206], [303, 163]]"
242665,1114538,203879,0.216360755,73,77,[],"[[305, 105], [275, 203]]"
131927,476929,314200,0.138889786,17,60,[],"[[129, 310], [355, 97], [195, 345], [407, 241], [226, 202], [408, 295]]"
137491,153180,515020,0.361401717,231,127,[],"[[474, 241], [503, 348], [213, 313]]"
124739,144034,213039,0.360115458,206,172,"[[487, 298], [357, 286], [239, 369], [388, 312]]",[]
139389,353745,266114,0.132231855,84,31,[],"[[534, 23], [322, 210], [470, 226], [179, 301], [61, 209], [317, 439], [582, 415], [355, 20]]"
1810,712782,162760,0.171546337,109,73,[],"[[293, 369]]"
352814,1051628,131725,0.114792299,36,35,[],"[[234, 208], [254, 158], [340, 103], [140, 191], [108, 109], [184, 31]]"
192180,36694,493022,0.250019373,104,106,[],"[[474, 155], [306, 124], [143, 365], [499, 259]]"
433984,1955649,126097,0.20019417,128,75,"[[547, 320]]","[[321, 153], [272, 366], [317, 126], [208, 316], [422, 226], [204, 89], [431, 106]]"
340327,22242,321314,0.584454583,248,328,[],"[[208, 288], [135, 374], [182, 306], [217, 268], [251, 278], [263, 362]]"
36196,161008,333722,0.291235262,139,50,"[[204, 217], [274, 270], [72, 95]]","[[247, 582], [150, 352], [78, 611]]"
57298,597181,542173,0.362971197,196,174,[],"[[254, 332], [323, 88], [519, 137], [190, 280], [246, 111], [160, 311]]"
192642,76043,560853,0.477523633,305,213,"[[393, 291], [363, 357], [438, 259], [237, 284]]","[[278, 221]]"
53016,595782,387056,0.240115474,130,102,"[[259, 122], [147, 172], [202, 318], [246, 184]]","[[413, 85], [445, 172], [86, 77]]"
53016,595782,296832,0.531317651,288,226,"[[368, 304]]","[[373, 204], [351, 170], [404, 261], [245, 270], [396, 246]]"
83494,1056410,431553,0.745890625,329,358,"[[174, 223], [210, 218], [325, 247], [322, 269]]",[]
83159,1074276,457335,0.562580069,281,263,"[[341, 297], [338, 212], [336, 190]]",[]
132272,672975,329475,0.114803696,27,49,"[[279, 383]]","[[421, 112], [217, 159], [108, 149], [329, 71], [605, 240]]"
17717,80645,546079,0.220238377,30,105,"[[470, 209]]","[[619, 120], [189, 346], [219, 55], [224, 399]]"
459967,707427,496261,0.096124754,45,14,"[[251, 207], [122, 109], [254, 358], [409, 330]]","[[310, 157]]"
367853,21228,126097,0.906862619,349,385,[],"[[247, 201], [281, 214], [272, 231]]"
137156,349351,255214,0.459674595,260,220,"[[208, 306], [464, 349], [325, 340]]","[[140, 235]]"
202755,1048809,98582,0.455177746,183,217,"[[364, 248], [484, 199], [462, 337], [238, 254], [496, 188], [253, 293]]",[]
62038,1536949,509740,0.314260944,128,113,[],"[[145, 126], [191, 224], [356, 122], [69, 157], [266, 254]]"
559427,1105283,396765,0.111078468,63,53,"[[343, 298], [135, 441], [168, 211]]","[[147, 36], [342, 425]]"
16606,1105824,529383,0.111078468,34,50,"[[398, 282], [41, 356], [215, 185], [297, 356], [442, 398], [209, 53], [506, 128], [245, 31], [528, 175]]",[]
394501,184989,447607,0.489498064,116,313,"[[224, 368], [280, 415], [159, 427]]","[[106, 212], [397, 235], [106, 267], [319, 322]]"
381257,1104693,267555,0.167199693,39,62,"[[179, 198]]","[[366, 39], [122, 117], [142, 339], [139, 184], [191, 43], [392, 252]]"
527445,663483,293169,0.182916285,50,78,[],"[[182, 131], [272, 103], [298, 256], [60, 146], [223, 262], [543, 258], [445, 106], [198, 276], [521, 114], [511, 286], [117, 267], [159, 177], [223, 88], [574, 193]]"
34478,703810,84040,0.163493372,59,78,"[[437, 312], [412, 304], [401, 327]]",[]
8583,1115326,211850,0.106809093,68,14,"[[139, 200]]","[[384, 34], [136, 93], [469, 443], [579, 230], [215, 318], [290, 173], [567, 119]]"
72275,1041471,507436,0.780110652,499,343,"[[296, 279]]","[[376, 212], [335, 176]]"
8999,1100782,522782,0.203904485,130,81,"[[482, 364]]","[[142, 76], [310, 107]]"
408235,1104948,126235,0.501168663,132,187,[],"[[341, 188], [402, 254], [397, 152]]"
83159,1074276,384993,0.851967005,326,305,"[[347, 191], [270, 184], [185, 167], [202, 194], [361, 152], [398, 153]]",[]
53436,416013,353561,0.232499217,80,99,[],"[[144, 73]]"
316482,704836,324203,0.247372473,123,26,"[[419, 255]]","[[182, 179], [184, 72]]"
238561,37075,465588,0.738249023,209,295,[],"[[303, 217], [432, 217], [479, 241]]"
86573,1881955,238768,0.272388867,97,174,"[[242, 525]]","[[334, 348], [300, 179], [171, 287]]"
191173,149466,60677,0.68275468,436,232,"[[398, 344], [323, 233], [236, 223], [295, 312], [408, 253]]","[[385, 190]]"
3389,36869,208961,0.250019373,92,111,"[[546, 273], [262, 331], [248, 219], [366, 240], [505, 286], [452, 299], [167, 347], [337, 300], [181, 206]]","[[141, 91]]"
246197,1053706,201717,0.114792299,52,55,"[[447, 442]]","[[284, 41]]"
41565,13057,46674,0.433605824,208,177,[],"[[134, 207], [185, 329], [276, 396], [198, 402]]"
523818,26188,135237,0.20019417,38,85,[],"[[142, 346], [31, 61], [105, 301], [86, 106], [603, 178], [349, 53], [497, 350], [364, 251], [538, 49], [426, 92], [268, 280], [222, 300], [378, 118], [553, 166], [133, 265], [534, 365], [237, 171]]"
71664,1926968,421639,0.846105354,347,360,"[[423, 229], [439, 199], [250, 193], [194, 234], [289, 187], [373, 212], [281, 220], [189, 224], [300, 235]]",[]
510581,1105331,368603,0.111078468,71,25,[],"[[175, 101], [280, 28], [340, 322]]"
93587,709735,247333,0.171546337,64,27,[],"[[66, 63], [204, 125], [324, 279], [331, 401], [37, 432]]"
164657,1183508,140180,0.302420017,128,129,"[[503, 351]]","[[145, 296], [323, 81], [138, 177], [426, 208], [236, 326]]"
126192,601473,577065,0.240115474,93,115,"[[557, 287], [385, 233], [226, 216]]","[[426, 97], [90, 149], [374, 62]]"
142794,148941,13943,0.550804713,335,264,"[[199, 318], [430, 303], [451, 309], [296, 287]]","[[268, 249], [322, 233], [260, 246]]"
475893,26020,306703,0.337587833,159,216,"[[387, 449], [269, 523]]","[[280, 328], [269, 406], [351, 203], [281, 304], [336, 334], [297, 389], [384, 158], [170, 458]]"
113205,1116681,575498,0.261149668,167,98,"[[360, 410], [547, 367]]","[[155, 274], [250, 207], [117, 169], [454, 174], [483, 224]]"
260,1444991,77931,0.505399718,170,241,[],"[[170, 143], [454, 336], [519, 215], [167, 322], [242, 357], [309, 223], [395, 124], [102, 225], [525, 187]]"
240661,1107632,272510,0.111078468,71,27,[],"[[62, 423], [178, 227]]"
98194,15776,489248,0.287928861,85,122,[],"[[213, 270], [239, 183], [126, 151], [437, 110]]"
22014,100180,439214,0.181107612,71,80,[],"[[358, 319], [439, 72], [561, 97], [536, 313], [123, 281], [335, 75], [106, 179], [348, 41], [142, 97], [83, 356], [294, 281], [323, 313], [407, 245]]"
60319,179442,211351,0.214827964,137,37,[],"[[334, 370], [378, 253], [375, 98], [473, 318], [87, 374], [176, 236], [524, 233]]"
124739,144034,448114,0.360115458,170,142,"[[497, 294], [474, 233], [383, 287]]",[]
55607,49487,80853,0.679177099,434,220,"[[293, 302]]","[[325, 247], [232, 200]]"
229787,20337,135237,0.20019417,78,85,[],"[[474, 43], [512, 197], [159, 201], [391, 117], [218, 303], [278, 183], [525, 337], [190, 65]]"
128434,101775,243158,0.45402125,290,214,"[[398, 332]]","[[338, 204], [444, 219]]"
31587,104045,222964,0.127454473,49,61,[],"[[100, 100], [372, 206], [311, 402], [98, 448], [211, 269], [591, 323]]"
35395,1053379,435037,0.265470933,141,127,[],"[[428, 363], [190, 327], [282, 343], [543, 232]]"
319907,292943,126097,0.121522447,49,51,[],"[[116, 348], [189, 178], [539, 43], [224, 361], [485, 365], [371, 168], [482, 160], [278, 61], [86, 70]]"
96475,1578648,327038,0.451734716,289,152,"[[380, 191], [293, 167], [442, 247]]",[]
70491,1638402,3067,0.252910491,161,63,[],"[[282, 174], [221, 188]]"
772,60987,520764,0.179764253,105,81,"[[476, 311], [517, 250]]","[[335, 315], [98, 265], [130, 300], [371, 135], [195, 75]]"
240661,1107632,267555,0.332629331,166,64,[],"[[191, 195], [297, 294], [123, 34], [318, 197]]"
356236,707769,175353,0.163493372,78,76,"[[202, 587], [301, 261], [173, 253], [127, 507]]","[[129, 79], [371, 40]]"
22112,24275,295270,0.906862619,379,325,[],"[[203, 422], [212, 355], [205, 379], [214, 210], [222, 243], [192, 397], [192, 168], [215, 404], [203, 169], [222, 241], [226, 363], [229, 362], [195, 370], [213, 319], [191, 361], [227, 431], [197, 231], [196, 423]]"
93258,1041857,327578,0.371546568,129,158,[],"[[509, 113], [545, 284], [72, 245], [64, 101], [308, 342], [349, 197], [406, 220], [231, 286], [222, 239], [256, 232], [331, 141]]"
42371,57943,480582,0.347353497,119,155,[],"[[159, 189], [115, 93], [334, 119], [207, 299], [535, 110]]"
9113,103037,102278,0.240424012,70,102,"[[316, 374]]","[[218, 129], [287, 227], [483, 81], [231, 91], [504, 211], [91, 315]]"
96475,1578648,203601,0.846105354,541,285,"[[361, 163], [313, 188], [292, 151]]",[]
93683,710455,162760,0.171546337,71,73,[],"[[132, 163], [599, 266], [302, 99], [551, 368], [275, 328], [95, 40], [197, 358]]"
121952,1636354,466001,0.387932596,248,132,"[[500, 351], [263, 354]]","[[146, 164]]"
550113,177822,302318,0.132941415,22,49,[],"[[202, 340], [101, 268], [57, 100], [88, 198], [465, 290]]"
69959,9226,205183,0.262697084,168,83,"[[404, 345]]","[[112, 46], [556, 179]]"
100187,1941815,439214,0.240424012,94,107,[],"[[299, 249], [81, 263], [145, 166], [438, 87], [566, 241], [301, 328], [383, 102], [179, 312]]"
72275,1041471,338988,0.540406768,334,230,"[[186, 182], [244, 265], [327, 219], [415, 162], [269, 171]]",[]
134199,1409938,378491,0.339334676,150,127,[],"[[169, 215]]"
46002,1103902,429309,0.414732194,177,123,"[[107, 226], [325, 255], [215, 569]]","[[179, 346], [109, 520], [277, 160], [147, 518], [92, 356], [301, 182], [236, 68], [191, 325], [88, 394], [302, 368], [95, 96], [250, 135]]"
404795,580399,267898,0.197521641,114,84,[],"[[420, 263], [260, 186], [204, 59], [533, 293], [121, 319]]"
131419,310652,193347,0.37498197,239,147,"[[207, 266], [305, 323], [361, 171], [187, 241]]",[]
294549,1107096,368603,0.111078468,71,29,[],"[[412, 285], [317, 197]]"
70491,1638402,137573,0.387932596,248,97,[],"[[508, 77], [392, 239], [351, 165], [173, 347], [342, 64], [237, 55]]"
67807,54393,480582,0.125079102,37,56,[],"[[412, 388], [163, 289], [521, 341], [37, 157], [386, 139], [303, 273], [615, 98]]"
60319,179442,14835,0.132941415,85,23,[],"[[562, 44], [412, 293], [232, 363], [519, 444], [140, 55], [59, 184], [178, 402], [250, 21]]"
569024,1105166,526360,0.2306521,98,46,"[[220, 612], [286, 528]]","[[137, 157], [234, 216], [180, 381], [83, 467], [94, 243], [316, 266], [280, 186]]"
279169,1551064,338988,0.455177746,291,174,"[[300, 255], [224, 116], [464, 304], [153, 225], [184, 303], [321, 172], [290, 309], [420, 328], [199, 198], [149, 314]]",[]
100926,1632028,178980,0.348953371,54,167,[],"[[579, 253], [70, 164], [357, 133], [79, 215]]"
347445,73277,519728,0.488944057,222,250,"[[319, 358], [396, 337], [146, 300]]","[[303, 256], [188, 220], [528, 271]]"
263111,510297,272940,0.332130444,42,141,"[[367, 198], [455, 227]]","[[575, 84], [319, 353], [495, 321], [98, 309]]"
363887,396472,426209,0.304005356,176,103,[],"[[119, 416], [325, 211], [464, 492], [287, 438], [107, 310], [389, 120], [304, 196]]"
346752,1914051,376919,0.374748063,239,144,"[[190, 268], [458, 371], [121, 129], [203, 401]]",[]
143822,1112616,535501,0.551825381,58,235,[],"[[113, 173], [142, 294], [67, 216]]"
24081,1085325,203601,0.268447079,171,93,"[[465, 190], [354, 332], [103, 406], [233, 240], [297, 288]]",[]
289535,55163,443003,0.747190964,416,358,[],"[[221, 209], [306, 209], [429, 294], [266, 280], [372, 225], [357, 295], [409, 186], [288, 251], [261, 220]]"
65836,1042313,507436,0.540406768,227,259,[],"[[444, 145], [369, 163], [440, 313], [366, 153], [388, 317], [464, 294]]"
83159,1074276,202944,0.407438659,208,195,"[[355, 373], [174, 309], [331, 235], [521, 359], [398, 216], [111, 219], [519, 155], [306, 160]]",[]
165741,686304,126059,0.131272935,84,35,"[[257, 450], [584, 151]]","[[137, 117], [389, 222], [400, 106], [178, 336]]"
228018,1081509,54082,0.145461552,93,44,"[[275, 327], [491, 400], [256, 125], [501, 199]]",[]
441738,1973705,314016,0.551825381,51,235,[],"[[168, 165], [407, 290], [379, 192], [44, 257], [535, 210], [535, 307], [199, 301], [297, 123], [612, 147], [527, 266], [387, 256], [252, 124], [170, 185], [547, 175], [492, 185], [40, 198], [370, 226]]"
304099,1186516,140180,0.110070267,70,43,"[[596, 367]]","[[145, 368], [490, 130], [126, 58], [402, 152], [286, 330], [47, 218], [379, 147]]"
66209,1055308,149295,0.150008239,71,64,"[[177, 565], [52, 249], [351, 454], [234, 368]]",[]
54837,582319,225213,0.773786283,393,330,"[[351, 255], [421, 227], [394, 220], [411, 184], [400, 180], [410, 260]]",[]
395290,49502,364372,0.197186657,83,94,"[[223, 330], [168, 103], [120, 251]]","[[495, 357], [581, 221], [316, 59], [313, 290], [539, 56]]"
116226,1897516,496261,0.096124754,16,61,"[[81, 123], [106, 373], [263, 272], [341, 396], [353, 516], [201, 68]]",[]
580766,1152493,487338,0.10961596,45,70,[],"[[395, 339], [203, 217], [495, 456], [505, 147], [179, 241]]"
109334,1409466,169934,0.597393199,245,298,"[[206, 310], [181, 290], [142, 303]]","[[153, 273], [189, 275], [217, 226]]"
157977,705833,324203,0.163493372,48,61,"[[244, 152], [457, 316], [232, 122]]","[[102, 248], [27, 203], [106, 152]]"
119993,1942243,146570,0.181107612,115,84,[],"[[194, 226], [429, 276], [315, 162], [79, 344], [438, 53], [542, 322], [210, 109], [199, 53], [232, 212], [461, 188]]"
491888,666072,516856,0.182916285,38,87,[],"[[316, 130]]"
70380,1084350,512157,0.451734716,273,162,"[[398, 193], [337, 268], [218, 265], [167, 200]]",[]
149630,1056998,293793,0.745890625,341,358,"[[346, 232], [380, 248], [369, 279], [291, 279], [392, 210]]",[]
174898,149831,198947,0.550804713,264,238,"[[254, 180], [196, 342]]","[[135, 463], [344, 136]]"
31562,1112841,2434,0.216360755,33,103,[],"[[103, 326], [554, 311], [158, 62], [308, 153], [619, 159], [442, 189]]"
174898,149831,205613,0.834166922,515,465,"[[313, 390], [310, 331], [339, 359], [325, 399], [259, 399], [270, 371], [326, 354], [344, 345]]","[[352, 325]]"
230931,396736,536164,0.792585735,507,262,"[[322, 215], [254, 216]]","[[286, 154], [332, 177]]"
199888,581304,219443,0.773786283,258,371,[],"[[287, 211], [261, 273], [275, 240], [235, 245]]"
90501,573799,379172,0.7207216,427,345,[],"[[361, 177], [357, 218], [286, 184], [218, 204], [312, 231], [268, 266], [340, 271], [277, 255]]"
281376,1116339,295317,0.261149668,167,43,"[[518, 366], [192, 354], [323, 322], [420, 341]]","[[196, 90], [298, 182], [536, 117], [334, 40], [133, 433], [372, 402], [354, 140], [130, 64], [544, 98], [123, 206], [429, 272], [418, 269]]"
44446,1056268,124577,0.745890625,457,358,"[[321, 236], [367, 284], [291, 286], [255, 224]]",[]
100926,2195524,2434,0.551825381,83,264,[],"[[71, 192], [536, 175], [172, 250], [126, 321], [566, 209], [500, 344]]"
20747,601275,577065,0.531317651,212,255,"[[114, 261], [415, 223], [209, 352], [272, 327], [399, 334]]",[]
441738,1973553,2434,0.551825381,65,264,[],"[[459, 250], [94, 203], [151, 319], [554, 160]]"
14733,74438,581929,0.397060672,254,153,"[[284, 379], [365, 287], [219, 311], [190, 394]]",[]
150442,1058392,431553,0.148994221,60,71,"[[284, 406], [291, 279], [103, 326], [279, 122], [76, 142], [485, 275], [528, 414], [208, 210]]",[]
146917,2111340,447378,0.295814199,140,141,[],"[[308, 395], [122, 204], [489, 102], [445, 81], [393, 109], [113, 152], [130, 212], [542, 270]]"
315,1589986,106878,0.127454473,81,36,"[[572, 327], [77, 320]]","[[203, 110], [415, 133], [486, 222], [384, 330], [244, 217], [328, 84]]"
114616,64426,139105,0.179764253,115,66,"[[463, 224], [135, 356], [162, 261], [431, 302]]","[[257, 152], [155, 83], [414, 121]]"
183187,571899,26438,0.7207216,461,178,[],"[[325, 178], [363, 110], [330, 130], [393, 174]]"
36260,1072803,121873,0.407438659,173,99,[],"[[312, 138], [127, 95]]"
123229,78245,581929,0.649473695,377,330,"[[336, 274], [191, 205], [293, 334], [237, 271], [240, 293], [431, 302]]","[[336, 173]]"
235358,55407,313134,0.347353497,169,148,"[[133, 244], [485, 312], [127, 306], [347, 306]]","[[311, 230], [324, 74]]"
59993,1532543,509740,0.457138219,174,164,[],"[[303, 225], [304, 146], [117, 134], [324, 179], [180, 210], [151, 253]]"
